"DataName","PositionX","PositionY","Concentration","Dilution","PA","I.S.PA","Type","ratio","ValuesPositive","Conc"
"25","",NA,25,NA,386381,3629564,"Cal",0.106453833022369,28.6605997187337,NA
"50","",NA,50,NA,1372621,3545652,"Cal",0.387127952771451,47.8040310979801,NA
"75","",NA,75,NA,2776273,3584928,"Cal",0.774429221451588,72.8007630745415,NA
"100","",NA,100,NA,4432716,3747074,"Cal",1.18298064036099,97.6604221707043,NA
"150","",NA,150,NA,10167611,4662902,"Cal",2.18053285271704,153.230844261312,NA
"200","",NA,200,NA,12163128,3888428,"Cal",3.12803220221642,200.850601654584,NA
"250","",NA,250,NA,16892951,4048506,"Cal",4.17263825223428,248.982559165103,NA
"40-1","",NA,40,NA,745228,3321464,"Check",0.224367327178618,36.8181852406994,NA
"125-1","",NA,125,NA,5971388,3162399,"Check",1.88824623331844,137.604248093526,NA
"40-2","",NA,40,NA,849915,4010983,"Check",0.211896933993487,35.9635913658953,NA
"125-2","",NA,125,NA,6102583,3462000,"Check",1.76273339110341,130.738211458093,NA
"40-3","",NA,40,NA,865207,4056404,"Check",0.213294090036397,36.0594322089038,NA
"125-3","",NA,125,NA,6303426,3567346,"Check",1.76697914920504,130.972070897976,NA
"40-4","",NA,40,NA,819905,3996637,"Check",0.205148728793733,35.5003490584393,NA
"125-4","",NA,125,NA,6322594,3569030,"Check",1.77151607019274,131.221842321571,NA
"A1","A",1,NA,10,4611671,3515464,"Sample",1.31182427127685,105.21914493072,1.0521914493072
"A2","A",2,NA,10,5887173,3584105,"Sample",1.64257827267895,124.07220284177,1.2407220284177
"A3","A",3,NA,10,5994575,3778544,"Sample",1.58647748974208,120.927545156058,1.20927545156058
"A4","A",4,NA,10,6935467,3692596,"Sample",1.87820898901477,137.058729217566,1.37058729217566
"A5","A",5,NA,10,6463682,3654234,"Sample",1.76881994968029,131.073428231419,1.31073428231419
"A6","A",6,NA,10,5809224,3770661,"Sample",1.54063810032246,118.342418600271,1.18342418600271
"A7","A",7,NA,10,5050442,3699485,"Sample",1.36517434183407,108.312516841534,1.08312516841534
"A8","A",8,NA,10,5719477,3780569,"Sample",1.51286142376981,116.768985265528,1.16768985265528
"A9","A",9,NA,10,3037287,3735210,"Sample",0.813150264643755,75.2191512353004,0.752191512353004
"B1","B",1,NA,10,5303417,3674181,"Sample",1.44342834498355,112.812517059004,1.12812517059004
"B2","B",2,NA,10,5222588,3663705,"Sample",1.42549359186943,111.785047562861,1.11785047562861
"B3","B",3,NA,10,5649786,3743099,"Sample",1.50938727508944,116.571816230817,1.16571816230817
"B4","B",4,NA,10,5489829,3709635,"Sample",1.47988386997643,114.894036845615,1.14894036845615
"B5","B",5,NA,10,4889539,3792852,"Sample",1.28914574046127,103.897807745476,1.03897807745476
"B6","B",6,NA,10,6033929,3726761,"Sample",1.61908128801391,122.757652563394,1.22757652563394
"B7","B",7,NA,10,5252666,3783172,"Sample",1.38842907486099,109.654377183126,1.09654377183126
"B8","B",8,NA,10,5400447,3788694,"Sample",1.42541123669528,111.780324224935,1.11780324224935
"B9","B",9,NA,10,6178975,3763473,"Sample",1.6418279073611,124.030279578571,1.24030279578571
"C1","C",1,NA,10,5099499,3741285,"Sample",1.36303409122801,108.188821379359,1.08188821379359
"C2","C",2,NA,10,5011561,3845629,"Sample",1.30318369244667,104.716164331175,1.04716164331175
"C3","C",3,NA,10,5090305,3866538,"Sample",1.31650199739405,105.491210651409,1.05491210651409
"C4","C",4,NA,10,5053573,3788754,"Sample",1.33383508140143,106.497924721464,1.06497924721464
"C5","C",5,NA,10,6248632,3841947,"Sample",1.62642326924343,123.168795171863,1.23168795171863
"C6","C",6,NA,10,5544604,3899357,"Sample",1.42192776911681,111.580491781063,1.11580491781063
"C7","C",7,NA,10,4782243,3852723,"Sample",1.24126312740366,101.095286221041,1.01095286221041
"C8","C",8,NA,10,5739095,3900033,"Sample",1.47155036893278,114.419036367918,1.14419036367918
"C9","C",9,NA,10,6207255,3949571,"Sample",1.57162765272481,120.091639111933,1.20091639111933
"D1","D",1,NA,10,5954324,3614435,"Sample",1.64737337924185,124.340020295603,1.24340020295603
"D2","D",2,NA,10,5113998,3620589,"Sample",1.41247680971245,111.037892651439,1.11037892651439
"D3","D",3,NA,10,5561554,3647433,"Sample",1.5247857877033,117.445099059298,1.17445099059298
"D4","D",4,NA,10,4841402,3560166,"Sample",1.35988097184232,108.006526520489,1.08006526520489
"D5","D",5,NA,10,5268065,3599831,"Sample",1.46342008833192,113.955151060986,1.13955151060986
"D6","D",6,NA,10,4590622,3661460,"Sample",1.25376816898177,101.828869084677,1.01828869084677
